"","OverallQual","GrLivArea","GarageCars","Neighborhood","ExterQual","X1stFlrSF","BsmtFinSF1","LotArea","X2ndFlrSF","KitchenQual","YearBuilt","FullBath","SalePrice"
"127",6,958,2,"NPkVill","TA",958,120,4928,0,"TA",1976,2,128000
"139",8,1852,3,"CollgCr","Gd",1004,668,9066,848,"Gd",1999,2,230000
"140",6,1764,2,"CollgCr","TA",928,821,15426,836,"Gd",1997,2,231500
"148",7,2035,2,"Gilbert","Gd",884,0,9505,1151,"Gd",2001,2,222500
"149",7,1080,0,"SawyerW","TA",1080,680,7500,0,"Gd",2004,1,141000
"157",5,1040,2,"NAmes","TA",1040,0,7200,0,"TA",1950,1,109500
"159",7,1947,2,"Somerst","Gd",991,222,12552,956,"Gd",2004,2,254900
"161",6,1232,2,"Veenker","TA",1232,660,11120,0,"TA",1984,2,162500
"164",4,882,0,"OldTown","TA",882,0,5500,0,"TA",1956,1,103200
"166",5,1355,0,"Edwards","TA",808,351,10106,547,"TA",1940,2,127500
"168",8,2161,3,"NridgHt","Gd",1610,1288,10562,551,"Ex",2007,1,325624
"169",7,1720,2,"Gilbert","Gd",840,0,8244,880,"Gd",2004,2,183500
"172",6,1656,2,"NAmes","TA",1656,639,31770,0,"TA",1960,1,215000
"173",7,1767,2,"StoneBr","Gd",1064,495,5306,703,"Gd",1987,2,239000
"176",6,2158,2,"Edwards","TA",2158,477,12615,0,"Gd",1950,2,243000
"179",9,2234,3,"StoneBr","Ex",2234,1904,17423,0,"Ex",2008,2,501837
"180",5,968,2,"OldTown","Gd",968,0,8520,0,"TA",1923,1,100000
"183",5,1340,1,"Edwards","TA",1340,0,9060,0,"TA",1957,1,120000
"184",7,2082,2,"OldTown","TA",1362,0,11426,720,"Gd",2003,2,200000
"186",10,3608,3,"OldTown","Gd",1518,0,22950,1518,"Ex",1892,2,475000
"187",7,1217,2,"Mitchel","TA",1217,611,9947,0,"Gd",1990,2,173000
"189",5,1224,2,"SawyerW","TA",1224,1086,7018,0,"TA",1979,0,153337
"190",8,1593,2,"StoneBr","Gd",1593,1153,4923,0,"Ex",2001,1,286000
"192",7,1479,2,"NAmes","TA",725,626,7472,754,"Gd",1972,1,184000
"193",7,1431,2,"CollgCr","Gd",1431,560,9017,0,"Gd",1999,2,192000
"197",7,1726,3,"Somerst","Ex",1726,1126,9416,0,"Ex",2007,2,311872
"201",4,1121,2,"Edwards","TA",1121,0,8546,0,"TA",2003,2,140000
"203",6,1310,1,"OldTown","TA",865,617,7000,445,"TA",1924,2,112000
"204",6,848,2,"CollgCr","Gd",848,662,4438,0,"Gd",2004,1,149000
"207",5,1696,1,"Sawyer","TA",1696,0,13673,0,"TA",1962,1,143900
"210",6,1092,2,"NAmes","TA",1092,787,8250,0,"TA",1964,1,145000
"211",5,864,0,"Edwards","TA",864,468,5604,0,"TA",1925,1,98000
"212",6,1212,2,"Edwards","TA",1212,36,10420,0,"Gd",2009,2,186000
"216",5,1236,1,"NAmes","TA",1236,360,10011,0,"Gd",1957,1,134450
"219",7,1954,2,"Crawfor","Gd",1137,341,15660,817,"Gd",1939,1,311500
"220",7,1248,2,"Blmngtn","Gd",1248,16,3010,0,"Gd",2005,2,167240
"221",7,1498,2,"CollgCr","Gd",1498,0,8990,0,"Gd",2006,2,204900
"222",6,2267,2,"Gilbert","Gd",1010,0,8068,1257,"Gd",2002,2,200000
"239",8,1694,3,"NridgHt","Ex",1694,0,12030,0,"Gd",2007,2,318000
"240",6,1487,1,"Edwards","TA",798,94,8741,689,"TA",1945,1,113000
"244",6,1217,1,"SawyerW","TA",626,0,10762,591,"TA",1980,1,120000
"246",7,1872,2,"NWAmes","TA",1872,929,10400,0,"TA",1988,2,241500
"255",5,1314,1,"NAmes","TA",1314,922,8400,0,"TA",1957,1,145000
"257",6,1728,2,"Somerst","Gd",864,503,8791,864,"Gd",2003,2,207500
"260",5,882,1,"OldTown","TA",882,0,12702,0,"TA",1956,1,97000
"262",8,2574,3,"CollgCr","Gd",1482,0,9588,1092,"Ex",2007,2,276000
"265",5,764,2,"OldTown","TA",764,0,5232,0,"TA",1925,1,73000
"268",5,2192,1,"SWISU","TA",1052,378,8400,720,"Gd",1939,2,179500
"271",8,1939,3,"Somerst","Gd",1095,0,10728,844,"Gd",2006,2,266000
"273",8,2270,3,"NoRidge","Gd",1164,524,11764,1106,"Gd",1999,2,290000
"276",7,1548,2,"BrkSide","Gd",952,0,7264,596,"Ex",1925,2,205000
"279",9,2121,3,"NridgHt","Ex",2121,0,14450,0,"Ex",2006,2,415298
"282",6,1262,2,"Somerst","Gd",1262,905,7200,0,"Gd",2006,2,185000
"292",5,1716,0,"SWISU","TA",936,210,5687,780,"Fa",1912,2,135900
"295",6,1644,2,"NAmes","TA",1644,1285,9600,0,"TA",1953,1,167000
"298",7,1950,2,"Somerst","Gd",975,649,7399,975,"Gd",1997,2,239000
"299",6,1743,2,"NWAmes","Gd",1041,384,11700,702,"TA",1968,1,175000
"303",7,1541,3,"CollgCr","Gd",1541,0,13704,0,"Gd",2001,2,205000
"308",6,1406,0,"IDOTRR","TA",1035,0,7920,371,"Fa",1920,1,89500
"312",6,972,1,"NAmes","TA",972,680,8000,0,"TA",1948,1,132000
"313",5,1118,2,"OldTown","TA",793,507,7800,325,"TA",1939,1,119900
"315",7,1641,2,"OldTown","TA",832,16,9600,809,"Ex",1925,1,178000
"317",7,2353,2,"NWAmes","Gd",1153,692,13005,1200,"Ex",1980,2,260000
"321",9,2596,3,"NridgHt","TA",1249,0,16259,1347,"Gd",2006,3,342643
"322",8,2468,3,"NridgHt","Gd",1136,970,12099,1332,"Gd",2004,2,354000
"324",3,1163,1,"OldTown","TA",1163,256,5820,0,"TA",1955,1,126175
"326",5,803,2,"IDOTRR","TA",803,116,5000,0,"TA",1941,1,87000
"327",8,1719,2,"Veenker","Gd",1719,1619,10846,0,"Gd",1993,1,324000
"329",6,2134,2,"BrkSide","TA",1445,0,11888,689,"Gd",1916,2,214500
"332",5,1056,1,"NAmes","TA",1056,846,8176,0,"TA",1958,1,139000
"334",6,1638,2,"Gilbert","TA",943,828,9042,695,"TA",1998,2,192000
"337",7,1536,2,"CollgCr","Gd",1536,810,9135,0,"Gd",2002,2,214000
"339",6,1215,1,"NAmes","TA",1215,585,12400,0,"TA",1958,1,155000
"342",3,1040,2,"NAmes","TA",1040,0,8544,0,"TA",1949,2,87500
"351",7,1453,2,"ClearCr","TA",1453,1082,5271,0,"Gd",1986,1,190000
"355",6,1200,2,"CollgCr","Gd",1200,334,11249,0,"Gd",1995,2,177500
"357",5,1142,2,"MeadowV","TA",1142,874,4224,0,"TA",1976,1,134000
"359",8,1924,2,"NoRidge","Gd",1086,956,12011,838,"Gd",1998,2,280000
"360",6,912,2,"Mitchel","TA",912,773,7540,0,"TA",1978,1,156000
"361",5,1505,1,"BrkSide","TA",988,399,9144,517,"TA",1940,1,145000
"363",6,987,1,"BrDale","TA",483,162,1680,504,"Gd",1972,1,118000
"367",6,1431,1,"NAmes","TA",1431,371,9150,0,"TA",1962,1,165000
"372",6,752,1,"SawyerW","TA",752,623,7175,0,"TA",1984,1,125000
"373",5,1319,1,"NAmes","TA",1319,428,10634,0,"TA",1953,1,123000
"375",1,904,0,"Edwards","Fa",904,350,10020,0,"Fa",1922,0,61000
"382",7,1797,2,"CollgCr","Gd",939,0,9245,858,"Gd",2006,2,213500
"387",6,1125,1,"Edwards","TA",1125,631,7200,0,"TA",1976,1,125000
"389",10,2332,3,"NridgHt","Ex",1742,1280,12474,590,"Ex",2007,2,426000
"392",5,882,1,"NAmes","TA",882,0,8339,0,"TA",1959,1,106500
"404",6,1572,2,"Gilbert","TA",806,0,10364,766,"TA",1995,2,168000
"405",4,1620,2,"Sawyer","TA",1620,1116,9991,0,"TA",1976,2,150000
"407",6,1680,1,"Crawfor","TA",840,0,15576,840,"TA",1915,2,177000
"408",7,2172,3,"NridgHt","Gd",1071,0,14154,1101,"Gd",2006,2,280000
"411",5,1056,2,"Gilbert","TA",1056,1056,34650,0,"TA",1955,1,145000
"412",7,1478,2,"Somerst","Ex",1478,578,4403,0,"Gd",2009,2,222000
"414",7,2097,3,"SawyerW","Gd",1080,50,11228,1017,"Gd",1993,2,228000
"416",6,1400,2,"Sawyer","TA",672,209,7844,728,"TA",1978,1,149500
"420",7,1344,4,"Mitchel","TA",1344,1309,7060,0,"TA",1997,2,206300
"425",7,1389,1,"OldTown","TA",707,0,3378,682,"TA",1946,1,135000
"432",5,1365,2,"BrDale","TA",765,471,1920,600,"TA",1971,1,122500
"436",6,1118,2,"OldTown","TA",734,0,4400,384,"TA",1920,1,116000
"438",5,694,1,"Crawfor","TA",694,365,4280,0,"Gd",1913,1,90350
"439",6,1196,2,"Edwards","TA",684,0,12354,512,"Gd",1920,1,110000
"442",5,1573,2,"BrkSide","TA",1128,0,6240,445,"TA",1930,2,162900
"443",7,1258,3,"Blmngtn","Gd",1258,0,3922,0,"Gd",2006,2,172500
"444",7,1908,2,"CollgCr","Gd",933,642,8750,975,"Gd",1994,2,210000
"445",6,1689,2,"Edwards","TA",1689,0,9855,0,"TA",1956,1,127500
"450",6,813,1,"OldTown","TA",813,0,5684,0,"Gd",1930,1,110000
"452",6,1756,2,"Timber","Gd",888,742,9303,868,"TA",1996,2,204000
"454",5,1728,2,"Mitchel","TA",1728,1606,9297,0,"TA",1976,2,188000
"456",5,1344,3,"OldTown","TA",624,0,4571,720,"TA",1916,1,98000
"458",8,1666,1,"OldTown","TA",833,0,5100,833,"Gd",1925,1,161000
"459",5,1203,1,"BrkSide","TA",979,185,7015,224,"Gd",1950,1,110000
"477",9,2643,3,"NridgHt","Ex",2069,0,13693,574,"Ex",2006,2,380000
"479",4,1131,2,"OldTown","TA",1131,168,5925,0,"TA",1937,1,89471
"480",9,1850,3,"NridgHt","Gd",1850,1261,16033,0,"Gd",2004,2,326000
"482",7,1826,1,"OldTown","Gd",916,299,2500,910,"Ex",1915,1,155000
"486",5,1073,2,"NAmes","TA",1073,836,10289,0,"TA",1965,1,156000
"487",5,1484,2,"NWAmes","TA",1484,998,12243,0,"TA",1971,2,175000
"489",4,630,1,"MeadowV","TA",630,515,1526,0,"Gd",1970,1,86000
"493",5,1269,1,"NAmes","TA",1269,374,7931,0,"TA",1960,1,155000
"496",8,3228,2,"NoRidge","Gd",3228,1231,12692,0,"Gd",1992,3,430000
"500",6,1218,1,"BrDale","TA",672,356,1890,546,"TA",1973,1,113000
"503",7,1801,2,"Crawfor","TA",1801,1247,15602,0,"TA",1959,2,289000
"505",5,1960,2,"OldTown","TA",960,0,7596,1000,"TA",1952,2,124500
"510",5,1363,1,"NAmes","Gd",1363,650,14559,0,"TA",1951,1,164900
"512",5,864,2,"NAmes","TA",864,521,9100,0,"TA",1958,1,129900
"514",5,789,1,"Crawfor","TA",789,0,10594,0,"TA",1926,1,96500
"517",7,2344,3,"NoRidge","Gd",1277,0,10208,1067,"Gd",1996,2,265000
"523",10,4676,3,"Edwards","Ex",3138,2260,40094,1538,"Ex",2007,3,184750
"524",7,2398,3,"NoRidge","Gd",1383,719,11787,1015,"Gd",1996,2,315750
"529",6,2515,2,"Crawfor","Gd",2515,1219,32668,0,"TA",1957,3,200624
"531",6,1362,2,"BrkSide","TA",751,0,6155,611,"TA",1920,2,128000
"539",8,1601,2,"CollgCr","Gd",1601,1358,11423,0,"Gd",2001,2,272000
"541",8,2285,3,"NoRidge","Gd",997,0,11000,1288,"Gd",2000,2,248000
"550",6,1069,2,"NPkVill","TA",1069,559,4043,0,"TA",1977,2,140000
"559",7,1557,2,"Blmngtn","Gd",1557,0,3196,0,"Gd",2003,2,234000
"562",5,996,0,"Edwards","TA",996,290,13907,0,"TA",1940,1,108000
"563",6,1674,2,"Edwards","TA",1163,0,21780,511,"TA",1918,2,185000
"569",5,943,2,"NAmes","TA",943,943,7032,0,"TA",1979,1,135960
"571",6,864,1,"NAmes","TA",864,414,7332,0,"Gd",1959,1,120000
"576",7,1477,1,"SWISU","TA",877,0,6292,600,"TA",1928,2,145000
"581",8,2042,3,"NridgHt","Ex",2042,0,12704,0,"Ex",2008,2,253293
"584",4,1573,1,"BrkSide","TA",989,0,6120,584,"Gd",1935,1,133000
"585",8,2028,3,"Timber","Gd",2028,1460,11443,0,"Gd",2005,2,369900
"586",6,838,1,"BrkSide","TA",838,210,10267,0,"Fa",1918,1,130000
"587",5,860,2,"Sawyer","TA",860,672,8740,0,"TA",1982,1,137000
"591",10,2296,3,"NridgHt","Ex",1728,1338,13478,568,"Ex",2008,2,451950
"593",6,848,2,"CollgCr","Gd",848,685,4435,0,"Gd",2003,1,140000
"594",5,924,1,"CollgCr","TA",924,0,7990,0,"TA",1975,1,110000
"595",8,1826,3,"StoneBr","Gd",1826,1422,11302,0,"Gd",2005,2,319000
"596",6,1368,1,"OldTown","TA",684,0,3600,684,"TA",1910,1,114504
"597",7,1402,3,"Blmngtn","Gd",1402,0,3922,0,"Gd",2006,0,194201
"598",5,1647,2,"Crawfor","TA",1647,1283,12984,0,"Gd",1977,2,217500
"599",6,1556,2,"Blueste","TA",716,81,1950,840,"TA",1980,2,151000
"600",8,1904,2,"NridgHt","Gd",1058,546,10927,846,"Ex",2005,2,275000
"605",7,1986,2,"NAmes","TA",1186,454,13600,800,"TA",1965,2,205000
"607",5,2008,1,"Edwards","TA",1112,603,7800,896,"Ex",1948,3,225000
"608",8,3194,2,"Crawfor","TA",1940,428,12168,1254,"TA",1934,2,359100
"613",5,1120,0,"Mitchel","TA",1120,206,8402,0,"TA",2007,1,147000
"616",6,1509,2,"Gilbert","Gd",807,457,7861,702,"Gd",2002,2,183200
"620",3,864,0,"Edwards","TA",864,41,8248,0,"TA",1914,1,67000
"626",5,1422,1,"NAmes","TA",1422,0,12342,0,"TA",1960,1,139900
"627",6,1520,1,"NAmes","TA",1520,674,9600,0,"TA",1955,1,153000
"633",5,1056,1,"NAmes","TA",1056,480,9250,0,"TA",1954,1,139400
"642",8,2704,2,"NAmes","Gd",2000,1410,13860,704,"Ex",1972,2,345000
"649",4,630,0,"MeadowV","TA",630,131,1936,0,"TA",1970,1,84500
"656",5,1053,1,"NAmes","Gd",1053,806,10007,0,"Gd",1959,1,145500
"666",6,2380,2,"NAmes","TA",1465,187,18450,915,"TA",1965,2,129000
"667",6,1679,2,"SawyerW","TA",1679,1138,8125,0,"Gd",1994,2,193500
"671",6,1369,1,"Edwards","TA",697,551,6629,672,"TA",1925,2,103600
"675",6,1441,2,"NPkVill","TA",855,311,2289,586,"TA",1978,2,148500
"676",4,1774,3,"OldTown","TA",1095,0,9600,679,"TA",1900,2,87000
"681",5,1520,1,"SWISU","TA",848,182,4500,672,"TA",1932,1,159434
"683",9,1668,3,"CollgCr","Gd",1668,1059,11248,0,"Gd",2002,2,285000
"688",8,1419,2,"StoneBr","Gd",1419,945,8089,0,"Gd",2007,2,392000
"689",6,1362,2,"NridgHt","Gd",1362,20,7577,0,"Gd",2005,2,194700
"697",5,1148,1,"Edwards","TA",1148,210,6420,0,"TA",1952,1,123500
"698",5,894,1,"Sawyer","TA",894,553,8450,0,"TA",1965,1,138500
"700",8,1800,3,"Timber","Gd",1800,1274,14331,0,"Gd",2002,2,312500
"702",8,2576,3,"StoneBr","Ex",1264,0,12438,1312,"Ex",2006,2,361919
"705",4,1092,0,"IDOTRR","Fa",372,0,5600,720,"Fa",1930,2,55000
"708",7,1456,2,"Gilbert","Gd",728,0,9018,728,"Gd",2007,2,179540
"713",4,960,2,"BrkSide","TA",960,789,9873,0,"TA",1970,1,129000
"715",6,1350,2,"NWAmes","TA",1350,0,10140,0,"TA",1974,2,165000
"716",7,2554,2,"OldTown","TA",1576,0,10800,978,"TA",1890,1,159500
"719",5,971,1,"CollgCr","TA",971,523,9920,0,"TA",1969,1,128500
"721",6,848,2,"CollgCr","Gd",848,662,4426,0,"Gd",2004,1,143000
"723",4,1470,1,"Edwards","TA",997,0,8172,473,"TA",1954,2,135000
"731",7,1146,2,"Timber","Gd",1146,786,9590,0,"Gd",2003,2,187500
"732",7,2031,2,"CollgCr","Gd",1153,252,11404,878,"Gd",1998,2,222500
"737",8,1801,3,"Gilbert","Gd",901,0,10463,900,"Gd",2005,2,239900
"746",7,2256,2,"Gilbert","Gd",980,300,8795,1276,"Gd",2000,2,236000
"747",7,2640,4,"OldTown","Gd",1320,0,11700,1320,"Gd",1880,1,265979
"748",7,1720,2,"NoRidge","Gd",1720,919,10593,0,"Gd",1996,2,260400
"750",4,1140,0,"OldTown","TA",792,0,8800,348,"TA",1910,1,96500
"751",7,1320,2,"Gilbert","Gd",660,0,7750,660,"Gd",2003,2,162000
"753",8,2098,3,"NridgHt","Gd",1038,0,10240,1060,"Ex",2005,2,275500
"757",6,1386,2,"Sawyer","TA",672,438,11616,714,"TA",1978,2,158900
"760",6,864,1,"NAmes","TA",864,612,9100,0,"TA",1959,1,127500
"762",7,1547,2,"Somerst","TA",764,24,8640,783,"Gd",2009,2,215200
"763",8,2365,3,"NoRidge","Gd",1268,1163,9430,1097,"Gd",1999,2,337000
"764",8,1494,2,"Veenker","Gd",1494,437,9549,0,"Ex",1995,1,270000
"766",7,1714,2,"NWAmes","TA",980,394,10421,734,"TA",1988,2,196500
"770",5,858,2,"Sawyer","TA",858,685,7252,0,"TA",1982,1,134900
"771",4,1220,2,"Edwards","TA",1220,836,8877,0,"TA",1951,1,102000
"772",6,1117,2,"Edwards","TA",1117,422,7819,0,"TA",1976,1,107000
"774",8,1973,3,"NridgHt","Gd",1973,0,14226,0,"Gd",2006,2,395000
"777",5,894,2,"Sawyer","TA",894,762,13350,0,"TA",1974,1,142500
"779",6,1004,2,"Mitchel","TA",1004,975,10530,0,"TA",1977,1,135000
"783",5,1110,2,"Mitchel","TA",1110,1097,9101,0,"Gd",1978,1,165500
"788",4,901,1,"OldTown","TA",901,0,6000,0,"TA",1954,1,107900
"792",7,2013,2,"NoRidge","Gd",1127,862,9920,886,"TA",1996,2,269790
"794",7,1895,2,"Gilbert","Gd",1086,0,10832,809,"Gd",1994,2,194500
"800",6,1688,2,"ClearCr","TA",616,462,12798,1072,"Gd",1997,2,200000
"803",9,2822,3,"NridgHt","Ex",1734,0,13891,1088,"Ex",2008,3,582933
"805",7,1428,2,"Somerst","Gd",1428,0,12274,0,"Ex",2008,2,227680
"806",5,980,1,"NAmes","TA",980,400,9750,0,"TA",1967,2,135500
"807",5,1576,2,"BrkSide","TA",1072,1309,21384,504,"Gd",1923,1,223500
"813",6,1442,1,"NAmes","TA",1442,608,9750,0,"TA",1958,1,157900
"814",5,1250,1,"Edwards","TA",686,0,8248,564,"Fa",1918,1,116000
"816",5,1008,1,"NAmes","TA",1008,486,11425,0,"TA",1954,1,137000
"820",7,1640,2,"CollgCr","Gd",798,0,7226,842,"Gd",2003,2,183000
"823",6,1489,1,"SWISU","TA",944,0,9900,545,"TA",1940,2,139500
"826",5,784,0,"BrkSide","TA",784,784,6130,0,"Gd",1924,1,109500
"838",5,1099,1,"CollgCr","TA",1099,0,9525,0,"Gd",1995,1,144000
"839",5,1200,1,"Edwards","TA",768,352,11767,432,"TA",1946,1,130500
"841",5,1539,2,"OldTown","TA",958,0,10440,581,"Gd",1904,2,157500
"843",5,1800,0,"NAmes","TA",1800,0,8000,0,"TA",1961,2,141000
"854",5,1779,2,"Sawyer","TA",1779,306,17920,0,"TA",1955,1,170000
"868",5,2320,2,"Gilbert","TA",1547,0,14762,720,"TA",1948,2,169000
"870",5,894,1,"NAmes","TA",894,0,6600,0,"TA",1962,1,109500
"872",5,910,2,"NAmes","Gd",910,0,8892,0,"Gd",1953,1,116000
"873",5,1268,1,"NAmes","Gd",1036,375,12144,0,"TA",1949,1,133000
"875",8,2610,2,"Somerst","Gd",1184,64,9000,1426,"Ex",2007,2,303477
"878",5,1155,2,"Sawyer","TA",1155,899,11782,0,"Gd",1961,1,148000
"879",5,864,1,"CollgCr","Gd",864,646,7000,0,"TA",1978,1,136500
"883",4,2230,1,"SWISU","Gd",954,0,6204,795,"TA",1912,1,118500
"887",5,1393,1,"Edwards","TA",872,0,16466,521,"TA",1955,1,135500
"892",6,1068,1,"Sawyer","TA",1068,663,8414,0,"TA",1963,1,154500
"895",6,1796,2,"NAmes","TA",983,400,7056,813,"TA",1963,1,140000
"898",9,2364,3,"NridgHt","Ex",2364,2188,12919,0,"Ex",2009,2,611657
"911",5,1268,1,"CollgCr","TA",1268,196,9286,0,"Gd",1977,1,143500
"912",5,1015,1,"BrkSide","TA",1015,489,6120,0,"TA",1925,1,88000
"913",5,2002,3,"Crawfor","TA",1001,284,6270,1001,"TA",1949,2,145000
"916",2,480,1,"IDOTRR","TA",480,50,9000,0,"TA",1949,0,35311
"918",7,2127,3,"SawyerW","Gd",912,48,13125,1215,"Gd",1991,2,238000
"926",8,2374,3,"NridgHt","Gd",1234,0,11999,1140,"Ex",2003,2,285000
"927",7,1978,2,"NWAmes","TA",1098,552,9900,880,"TA",1968,2,176000
"935",4,747,2,"BrkSide","TA",747,0,5825,0,"TA",1926,1,79900
"948",6,1381,2,"NWAmes","TA",1381,982,9360,0,"Gd",1972,1,197500
"949",5,864,2,"NAmes","TA",864,398,7200,0,"Gd",1950,1,129000
"961",6,1548,2,"NPkVill","TA",804,556,2308,744,"Gd",1976,2,155000
"965",5,1308,1,"Crawfor","Gd",976,428,9600,332,"TA",1940,1,160000
"966",5,1098,1,"NAmes","TA",1098,902,7390,0,"TA",1955,1,135000
"967",3,968,0,"OldTown","TA",600,0,5925,368,"TA",1910,1,37900
"969",4,1192,0,"NAmes","TA",720,0,10800,472,"TA",1949,1,135000
"975",4,869,0,"BrkSide","TA",869,0,5900,0,"Fa",1923,1,85500
"978",5,1121,2,"Sawyer","TA",1121,651,8816,0,"TA",1963,1,139000
"979",7,999,2,"NAmes","Ex",999,867,12122,0,"Ex",1961,1,178400
"985",6,1635,1,"OldTown","TA",1001,0,5310,634,"Gd",1910,1,117000
"994",4,1230,1,"BrkSide","TA",774,384,4712,456,"TA",1946,1,121600
"995",5,1050,1,"NAmes","TA",1050,915,10659,0,"TA",1961,1,136500
"996",6,1442,2,"NWAmes","TA",1442,0,11717,0,"TA",1970,2,185000
"1000",5,691,1,"OldTown","TA",691,0,5400,0,"Ex",1920,1,86000
"1002",5,1680,2,"NWAmes","TA",1680,0,11500,0,"TA",1976,2,136905
"1003",7,1504,2,"Blmngtn","Gd",1504,16,3182,0,"Gd",2005,2,181000
"1008",5,1522,0,"SWISU","TA",1008,0,6000,0,"TA",1926,2,102000
"1010",5,1664,0,"Edwards","TA",1664,0,9825,0,"TA",1965,2,100000
"1014",8,1665,2,"NWAmes","Gd",810,643,8400,855,"Gd",2001,2,227000
"1015",7,1504,2,"CollgCr","Gd",1504,690,11883,0,"Gd",1996,2,203000
"1016",8,1360,2,"StoneBr","Gd",1360,1036,5814,0,"Gd",1984,1,187500
"1018",7,1506,2,"Blmngtn","Gd",1506,16,3013,0,"Gd",2005,2,213490
"1021",5,1248,1,"OldTown","TA",912,324,9439,336,"TA",1930,1,87000
"1023",8,2898,2,"Timber","Gd",2898,1165,15498,0,"Gd",1976,2,287000
"1033",5,954,1,"Crawfor","TA",954,0,6305,0,"Fa",1938,1,119750
"1038",4,630,1,"MeadowV","TA",630,509,1477,0,"TA",1970,1,80000
"1039",5,1803,2,"Sawyer","TA",1803,168,13125,0,"TA",1957,2,155000
"1040",6,1632,2,"NWAmes","TA",800,400,9130,832,"Gd",1966,1,173000
"1047",5,1771,2,"Mitchel","TA",1771,0,21750,0,"TA",1960,1,115000
"1052",5,1526,1,"Edwards","TA",1526,383,8562,0,"TA",1957,1,144500
"1056",7,1850,2,"NoRidge","Gd",979,595,29959,871,"Gd",1994,2,248000
"1066",6,1611,2,"NAmes","TA",798,674,9760,813,"TA",1964,1,167900
